,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
279,2001-02-09,1314.76,0.290992,21.2719,20.8391
280,2001-02-12,1330.31,0.299896,21.3161,20.715
281,2001-02-13,1318.8,0.290992,21.4519,20.5065
282,2001-02-14,1315.92,0.296755,20.9149,20.577
283,2001-02-15,1326.61,0.305329,21.4941,20.73
284,2001-02-16,1301.53,0.289238,21.6329,20.2018
285,2001-02-20,1278.94,0.27856,21.7656,19.7005
286,2001-02-21,1255.27,0.287383,21.2285,19.8265
287,2001-02-22,1252.82,0.286147,21.4941,19.4513
288,2001-02-23,1245.86,0.286147,21.5345,20.0042
289,2001-02-26,1267.65,0.296755,21.3644,20.996
290,2001-02-27,1257.94,0.294941,21.4941,20.9314
291,2001-02-28,1239.94,0.277643,21.0084,20.8014
292,2001-03-01,1241.23,0.285569,20.8735,20.9314
293,2001-03-02,1234.18,0.292936,20.6503,19.9774
294,2001-03-05,1241.41,0.310223,20.4202,20.2484
295,2001-03-06,1253.8,0.327312,20.6503,20.9444
296,2001-03-07,1261.89,0.323284,20.2943,21.3951
297,2001-03-08,1264.74,0.316644,20.9543,20.8847
298,2001-03-09,1233.42,0.30799,20.6936,19.9774
299,2001-03-12,1180.16,0.283396,20.0642,18.3066
300,2001-03-13,1197.66,0.297752,19.8841,19.1246
301,2001-03-14,1166.71,0.311201,19.71,19.0353
302,2001-03-15,1173.56,0.299896,19.4848,18.9301
303,2001-03-16,1150.53,0.298629,18.9508,19.2349
304,2001-03-19,1170.81,0.312966,18.8613,19.1504
305,2001-03-20,1142.62,0.299896,18.4246,18.5757
306,2001-03-21,1122.14,0.306286,18.3409,17.6484
307,2001-03-22,1117.58,0.329066,17.9535,19.0353
308,2001-03-23,1139.83,0.350102,17.8747,19.9337
309,2001-03-26,1152.69,0.331539,18.0891,19.7629
310,2001-03-27,1182.17,0.348297,18.1118,20.5303
311,2001-03-28,1153.29,0.3376,18.0764,19.5902
312,2001-03-29,1147.95,0.343124,18.9419,19.5148
313,2001-03-30,1160.33,0.336065,18.9822,19.2736
314,2001-04-02,1145.87,0.328568,19.051,19.6756
315,2001-04-03,1106.46,0.30799,18.4384,18.811
316,2001-04-04,1103.25,0.296755,18.6557,18.3066
317,2001-04-05,1151.44,0.317781,18.5918,20.0042
318,2001-04-06,1128.43,0.313244,18.7708,19.8096
319,2001-04-09,1137.59,0.312676,19.0826,20.1402
320,2001-04-10,1168.38,0.335437,19.3048,21.0436
321,2001-04-11,1165.89,0.331857,19.1141,21.1786
322,2001-04-12,1183.5,0.341229,19.2272,21.9272
323,2001-04-16,1179.68,0.326335,19.4612,21.4368
324,2001-04-17,1191.81,0.310603,19.4278,21.6771
325,2001-04-18,1238.16,0.346743,19.656,23.0709
326,2001-04-19,1253.69,0.391526,19.6402,23.9921
327,2001-04-20,1242.98,0.381148,19.3688,24.3178
328,2001-04-23,1224.36,0.369015,19.2773,24.0617
329,2001-04-24,1209.47,0.365944,19.1898,23.8165
330,2001-04-25,1228.75,0.376233,19.3048,24.563
331,2001-04-26,1234.52,0.375983,19.3196,24.3694
332,2001-04-27,1253.05,0.398734,19.3835,23.6605
333,2001-04-30,1249.46,0.387857,19.6619,23.877
334,2001-05-01,1266.44,0.394566,19.8654,24.7417
335,2001-05-02,1267.43,0.404586,19.7031,24.5859
336,2001-05-03,1248.58,0.379981,19.235,24.147
337,2001-05-04,1266.61,0.392163,19.1759,24.9392
338,2001-05-07,1263.51,0.379981,19.1425,25.1606
339,2001-05-08,1261.2,0.374208,18.9822,25.4058
340,2001-05-09,1255.54,0.364987,19.4465,24.8052
341,2001-05-10,1255.18,0.350102,19.2439,24.6703
342,2001-05-11,1245.67,0.347949,19.8369,24.4528
343,2001-05-14,1248.92,0.354379,19.8448,24.2314
344,2001-05-15,1249.44,0.352904,19.6619,24.0617
345,2001-05-16,1284.99,0.366841,19.8055,24.3913
346,2001-05-17,1288.49,0.358616,20.3778,24.0358
347,2001-05-18,1291.96,0.358317,21.3083,23.9921
348,2001-05-21,1312.83,0.358616,21.3497,24.2542
349,2001-05-22,1309.38,0.357699,21.8089,24.7645
350,2001-05-23,1289.05,0.353791,21.626,24.563
351,2001-05-24,1293.17,0.353143,21.9928,25.2937
352,2001-05-25,1277.89,0.346453,21.8148,25.0038
353,2001-05-29,1267.93,0.326614,21.985,24.7824
354,2001-05-30,1248.08,0.301092,21.9466,24.3913
355,2001-05-31,1255.82,0.303544,21.6506,24.3913
356,2001-06-01,1260.67,0.318109,21.2435,24.7824
357,2001-06-04,1267.11,0.31446,20.9021,24.9392
358,2001-06-05,1283.57,0.318757,21.0319,25.5995
359,2001-06-06,1270.03,0.315707,21.2365,25.5131
360,2001-06-07,1276.96,0.329664,21.3722,25.953
361,2001-06-08,1264.96,0.32452,21.0575,25.796
362,2001-06-11,1254.39,0.305129,21.3851,25.4287
363,2001-06-12,1255.85,0.308938,21.3161,25.4058
364,2001-06-13,1241.6,0.311569,21.4519,24.9155
365,2001-06-14,1219.87,0.302607,21.4225,24.2791
366,2001-06-15,1214.36,0.311201,20.4998,23.9763
367,2001-06-18,1208.43,0.309257,20.3778,23.5722
368,2001-06-19,1212.58,0.307452,20.1664,23.7291
369,2001-06-20,1223.14,0.329974,20.1801,24.4756
370,2001-06-21,1237.04,0.342136,20.4782,24.6116
371,2001-06-22,1225.35,0.338896,20.1034,24.2542
372,2001-06-25,1218.6,0.364987,19.8782,24.2791
373,2001-06-26,1216.76,0.361677,19.6943,24.7178
374,2001-06-27,1211.07,0.355317,19.6697,25.0732
375,2001-06-28,1226.2,0.358317,19.7907,25.6213
376,2001-06-29,1224.38,0.353791,19.3501,25.5995
377,2001-07-02,1236.72,0.363711,19.5911,24.8925
378,2001-07-03,1234.45,0.362943,19.476,24.8549
379,2001-07-05,1219.24,0.353143,19.3501,24.147
380,2001-07-06,1190.59,0.335437,18.9822,23.2923
381,2001-07-09,1198.78,0.345536,18.9979,23.1572
382,2001-07-10,1181.52,0.321798,19.235,22.7383
383,2001-07-11,1180.18,0.343124,19.051,23.4391
384,2001-07-12,1208.14,0.370819,19.3048,25.2461
385,2001-07-13,1215.68,0.378376,19.7691,25.1369
386,2001-07-16,1202.45,0.364728,19.7543,25.0982
387,2001-07-17,1214.44,0.382094,19.8222,25.3194
388,2001-07-18,1207.71,0.316335,19.8055,24.8797
389,2001-07-19,1215.02,0.303833,19.7828,25.5776
390,2001-07-20,1210.85,0.304162,19.6776,24.3913
391,2001-07-23,1191.03,0.297423,19.8586,23.6448
392,2001-07-24,1171.65,0.290414,20.3011,23.3756
393,2001-07-25,1190.49,0.281003,20.9493,23.7917
394,2001-07-26,1202.93,0.282827,20.6847,23.4631
395,2001-07-27,1205.82,0.288659,20.4782,23.0838
396,2001-07-30,1204.52,0.288011,20.6641,23.1949
397,2001-07-31,1211.23,0.285888,20.8371,23.33
398,2001-08-01,1215.93,0.290095,21.0084,23.4391
399,2001-08-02,1220.75,0.30166,20.8441,23.7668
400,2001-08-03,1214.35,0.296755,20.7447,23.5722
401,2001-08-06,1200.48,0.290992,20.5942,23.3071
402,2001-08-07,1204.4,0.292936,20.5942,23.3985
403,2001-08-08,1183.53,0.287693,20.3208,22.8654
404,2001-08-09,1183.43,0.290095,20.2293,22.912
405,2001-08-10,1190.16,0.289507,20.0847,23.0838
406,2001-08-13,1191.29,0.290414,20.0346,23.1949
407,2001-08-14,1186.73,0.28525,20.0169,22.8048
408,2001-08-15,1178.02,0.280703,20.373,22.2777
409,2001-08-16,1181.66,0.283734,21.2365,22.781
410,2001-08-17,1161.97,0.275181,21.4519,21.813
411,2001-08-20,1171.41,0.275789,21.4873,22.092
412,2001-08-21,1157.26,0.272797,21.4519,21.411
413,2001-08-22,1165.31,0.277364,21.6329,21.3951
